USGS.SID,Sample.date..yyyymmdd.,Sample.time..hhmm.,medium.code,Sample.end.date..yyyymmdd.,Sample.end.time..hhmm.,01047,90868
391454106224201,20140529,1130,WS ,,,74,0
391500106224901,20140529,1215,WG ,,,32,2
391501106224901,20140529,1250,WG ,,,565,199
391504106225200,20140529,1330,WG ,,,5680,40
391504106225201,20140529,1400,WS ,,,57,8
391501106225401,20140529,1530,WS ,,,126,5
391501106230601,20140529,1630,WG ,,,13200,100
391504106223001,20140530,0920,WS ,,,182,3
391517106223801,20140530,1000,WG ,,,1490,180
391512106230001,20140530,1200,WG ,,,25,0
391517106230601,20140530,1245,WG ,,,49,3
391517106230602,20140530,1300,WS ,,,36,0
391519106230901,20140530,1345,WG ,,,27,0
391518106230901,20140530,1320,WG ,,,22,0
391452106224201,20140529,1015,WS ,,,151,1
391443106225701,20140529,1205,WS ,,,112,0
391445106230701,20140529,1255,WG ,,,16,0
391449106232001,20140529,1345,WG ,,,1590,0
391435106230801,20140529,1440,WG ,,,5730,160
391502106230601,20140529,1625,WS ,,,278,26
391559106230901,20140530,0940,WG ,,,354,35
391512106230401,20140530,1555,WG ,,,28200,100
391513106230401,20140530,1605,WG ,,,92600,100
391513106232601,20140530,1220,WG ,,,73,0
391606106241601,20140612,1240,WG ,,,2520,14780
391502106230601,20140924,1240,WS ,,,474,856
391452106224201,20140923,1045,WS ,,,181,25
391606106241601,20140923,1215,WG ,,,1600,8800
391559106230901,20140923,1355,WG ,,,7,14
391435106230801,20140923,1610,WG ,,,6010,0
391443106225701,20140924,0900,WS ,,,216,37
391445106230701,20140924,0930,WG ,,,212,6
391449106232001,20140924,1015,WG ,,,2570,30
391513106232601,20140924,1130,WG ,,,950,530
391501106230601,20140924,1340,WG ,,,44700,200
391501106225401,20140924,1425,WS ,,,713,707
391454106224201,20140923,1145,WS ,,,164,107
391500106224901,20140923,1245,WG ,,,18,6
391501106224901,20140923,1315,WG ,,,489,239
391504106225200,20140923,1410,WG ,,,7590,150
391504106223001,20140923,1530,WS ,,,198,27
391517106223801,20140923,1645,WG ,,,50,11
391504106225201,20140924,0900,WS ,,,153,94
391517106230602,20140924,1030,WS ,,,17,15
391517106230601,20140924,1050,WG ,,,8,4
391519106230901,20140924,1105,WG ,,,16,6
391518106230901,20140924,1120,WG ,,,8,2
391512106230401,20140924,1340,WG ,,,28900,0
391513106230401,20140924,1350,WG ,,,72000,600
391454106224201,20140529,1132,OAQ,,,0.002,2
391504106225201,20140529,1407,WSQ,,,67,0
391504106223001,20140530,0922,OAQ,,,11,0
391517106223801,20140530,1007,WGQ,,,1410,230
391452106224201,20140529,1052,OAQ,,,0.002,2
391502106230601,20140529,1627,WSQ,,,289,15
391559106230901,20140530,0947,WGQ,,,353,37
391454106224201,20140923,1142,OAQ,,,0.002,2
391606106241601,20140923,1222,OAQ,,,0.002,2
391502106230601,20140924,1247,WSQ,,,467,873
391500106224901,20140923,1247,WGQ,,,19,17
391504106225201,20140924,0902,OAQ,,,0.002,2
391512106230001,20140924,0957,WGQ,,,19,5
391530106223601,20140530,1305,WS,,,112,0
391530106223601,20140530,1302,OAQ,,,5,2
391600106235701,20140612,1155,WS,,,23,0
391512106230001,20140924,0950,WG,,,14,11
391501106225401,20140924,1422,OAQ,,,2,0
391559106230901,20140530,0947,WGQ,,,0,0
391559106230901,20140923,1407,WGQ,,,5,7
